Job Title,Company Name,Address,Job Link,Expected Salary
Business Analyst,Public Consulting Group,United States,https://www.linkedin.com/jobs/view/business-analyst-at-public-consulting-group-3824110960?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=NVnPUpfpj9S%2FsWgI%2B9LOYg%3D%3D&position=7&pageNum=9&trk=public_jobs_jserp-result_search-card,"$60,000.00/yr - $70,000.00/yr"
People Operations Manager,Lillio (formerly HiMama),United States,https://www.linkedin.com/jobs/view/people-operations-manager-at-lillio-formerly-himama-3817437996?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=WhuSu9eIwIOTZh%2FqHgoHTw%3D%3D&position=8&pageNum=9&trk=public_jobs_jserp-result_search-card,"$90,000.00/yr - $115,000.00/yr"
Propulsion Supply Chain Analyst - Remote | WFH,Get It Recruit - Transportation,"Pimmit Hills, VA",https://www.linkedin.com/jobs/view/propulsion-supply-chain-analyst-remote-wfh-at-get-it-recruit-transportation-3827133665?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=1X9rH%2B%2FevmsI0%2BGGeRPmdA%3D%3D&position=9&pageNum=9&trk=public_jobs_jserp-result_search-card,N/A
Business Operations & Reporting Analyst (Supplyframe),Supplyframe,"Los Angeles, CA",https://www.linkedin.com/jobs/view/business-operations-reporting-analyst-supplyframe-at-supplyframe-3816150293?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=gll36ayekw5eIuyNTcU58w%3D%3D&position=10&pageNum=9&trk=public_jobs_jserp-result_search-card,"$85,000.00/yr - $115,000.00/yr"
Gainsight Operations Manager,Bloomerang,"Indianapolis, IN",https://www.linkedin.com/jobs/view/gainsight-operations-manager-at-bloomerang-3807320423?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=6lX0uU3p7FPn4tIHd6ikPQ%3D%3D&position=11&pageNum=9&trk=public_jobs_jserp-result_search-card,"$64,000.00/yr - $86,500.00/yr"
Technical Reporting Analyst,CleanCapital,"New York, United States",https://www.linkedin.com/jobs/view/technical-reporting-analyst-at-cleancapital-3820500744?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=QMdtDHWNDmPpROHkeenBRw%3D%3D&position=12&pageNum=9&trk=public_jobs_jserp-result_search-card,"$79,000.00/yr - $107,000.00/yr"
Research Analyst,TVision,United States,https://www.linkedin.com/jobs/view/research-analyst-at-tvision-3820429892?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=ZAdVUm%2B%2B5SX3GZlMe69moQ%3D%3D&position=13&pageNum=9&trk=public_jobs_jserp-result_search-card,"$75,000.00/yr - $85,000.00/yr"
Sr. Supply Chain Systems Analyst,KIND,United States,https://www.linkedin.com/jobs/view/sr-supply-chain-systems-analyst-at-kind-3775823332?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=XaL2%2BJ4aEuOISRIDVglzKw%3D%3D&position=14&pageNum=9&trk=public_jobs_jserp-result_search-card,"$74,500.00/yr - $103,500.00/yr"
Sales Operations Analyst,Jellyvision,"Chicago, IL",https://www.linkedin.com/jobs/view/sales-operations-analyst-at-jellyvision-3818492410?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=LlXtpVaRY3bFWEnB0ACEkQ%3D%3D&position=15&pageNum=9&trk=public_jobs_jserp-result_search-card,"$81,695.00/yr - $99,849.00/yr"
Research and Development Business Analyst - 4448,"Verista, Inc.",United States,https://www.linkedin.com/jobs/view/research-and-development-business-analyst-4448-at-verista-inc-3821090699?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=CnRcZAOpgekXlfWff6qfMQ%3D%3D&position=16&pageNum=9&trk=public_jobs_jserp-result_search-card,"$65,000.00/yr - $109,101.00/yr"
Business Analyst (Workato),DynPro Inc.,"Santa Clara, CA",https://www.linkedin.com/jobs/view/business-analyst-workato-at-dynpro-inc-3826775715?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=dGiBcqBow7eex8Vjp8qFow%3D%3D&position=17&pageNum=9&trk=public_jobs_jserp-result_search-card,"$90,000.00/yr - $100,000.00/yr"
Operations Manager Remote Job,Data Nomad,United States,https://www.linkedin.com/jobs/view/operations-manager-remote-job-at-data-nomad-3831349525?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=cWrKqbKl7JCucNyb4Kf%2Biw%3D%3D&position=18&pageNum=9&trk=public_jobs_jserp-result_search-card,N/A
"Implementation Manager, Operations",Restaurant365,United States,https://www.linkedin.com/jobs/view/implementation-manager-operations-at-restaurant365-3819476244?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=GYfZhbMDHyMsycvDCfvWdQ%3D%3D&position=19&pageNum=9&trk=public_jobs_jserp-result_search-card,"$66,560.00/yr - $70,000.00/yr"
Operations Success Manager,Pueblo,"Arizona, United States",https://www.linkedin.com/jobs/view/operations-success-manager-at-pueblo-3831389295?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=HZSr4DYxBFz1EbtLlFH1Ew%3D%3D&position=20&pageNum=9&trk=public_jobs_jserp-result_search-card,"$100,000.00/yr - $130,000.00/yr"
Operations Research Analyst,"Amyx, Inc.",United States,https://www.linkedin.com/jobs/view/operations-research-analyst-at-amyx-inc-3824171121?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=AQiDUxyWvGjPbrwz3t4nNw%3D%3D&position=21&pageNum=9&trk=public_jobs_jserp-result_search-card,N/A
Outreach & Engagement Operations Manager,Pomelo Care,United States,https://www.linkedin.com/jobs/view/outreach-engagement-operations-manager-at-pomelo-care-3752567033?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=sBSYzkgaS8OuJ3gYcaGmVA%3D%3D&position=22&pageNum=9&trk=public_jobs_jserp-result_search-card,"$110,000.00/yr - $120,000.00/yr"
Business Analyst- Remote,Data Nomad,United States,https://www.linkedin.com/jobs/view/business-analyst-remote-at-data-nomad-3832202523?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=zSa6Y%2FlCDbK5XW6YGAR53A%3D%3D&position=23&pageNum=9&trk=public_jobs_jserp-result_search-card,N/A
Senior Business Analyst,Housing Forward,United States,https://www.linkedin.com/jobs/view/senior-business-analyst-at-housing-forward-3831421077?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=%2BK1lCPZufkjS2s%2B9je8M0w%3D%3D&position=24&pageNum=9&trk=public_jobs_jserp-result_search-card,N/A
"Operations Manager (Full-Time, Remote)",Accelerate Change Network,United States,https://www.linkedin.com/jobs/view/operations-manager-full-time-remote-at-accelerate-change-network-3826797249?refId=hQV4Ph4IxignwGLRU1MqAg%3D%3D&trackingId=t32vFaUkFugMKuR%2BWy%2FjdQ%3D%3D&position=25&pageNum=9&trk=public_jobs_jserp-result_search-card,"$67,000.00/yr - $77,000.00/yr"
Business Analyst- Remote,Data Nomad,United States,https://www.linkedin.com/jobs/view/business-analyst-remote-at-data-nomad-3832841542?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=xWNqZLPJmGHFSbCpbdUMdA%3D%3D&position=1&pageNum=10&trk=public_jobs_jserp-result_search-card,N/A
Business Analyst- Remote,Data Nomad,United States,https://www.linkedin.com/jobs/view/business-analyst-remote-at-data-nomad-3832133607?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=V3aCyVGqqrkTM4%2BAetYBzw%3D%3D&position=2&pageNum=10&trk=public_jobs_jserp-result_search-card,N/A
Workforce Management Junior Analyst,UST HealthProof,United States,https://www.linkedin.com/jobs/view/workforce-management-junior-analyst-at-ust-healthproof-3825428157?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=b1eXL3usElFxRd3qixpTuA%3D%3D&position=3&pageNum=10&trk=public_jobs_jserp-result_search-card,"$39,520.00/yr - $43,680.00/yr"
1P Operations Manager,Carbon6,United States,https://www.linkedin.com/jobs/view/1p-operations-manager-at-carbon6-3827221061?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=ZOFbkVh7VEEzSDLQkJVP%2FQ%3D%3D&position=4&pageNum=10&trk=public_jobs_jserp-result_search-card,N/A
Formulary Operations Manager,Capital Rx,United States,https://www.linkedin.com/jobs/view/formulary-operations-manager-at-capital-rx-3825978536?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=LkEy5CZwKDcgIbIb0sQ9ew%3D%3D&position=5&pageNum=10&trk=public_jobs_jserp-result_search-card,"$105,000.00/yr - $145,000.00/yr"
Operations Manager,Emerald,United States,https://www.linkedin.com/jobs/view/operations-manager-at-emerald-3812989200?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=VieTeOfF2pKTXTrMyWSCCw%3D%3D&position=6&pageNum=10&trk=public_jobs_jserp-result_search-card,"$70,000.00/yr - $80,000.00/yr"
Amazon Business Analyst,Jabra,"Home, KS",https://www.linkedin.com/jobs/view/amazon-business-analyst-at-jabra-3815534467?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=F9cGzt3fYzpBlGjWzDbsTA%3D%3D&position=7&pageNum=10&trk=public_jobs_jserp-result_search-card,"$83,000.00/yr - $109,000.00/yr"
Senior Intrusion Operations Analyst,Google,United States,https://www.linkedin.com/jobs/view/senior-intrusion-operations-analyst-at-google-3828248569?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=0tnSNTVv35adVy%2F6qFLytw%3D%3D&position=8&pageNum=10&trk=public_jobs_jserp-result_search-card,"$157,000.00/yr - $235,000.00/yr"
"Order Operations Manager, Deal Desk",Ironclad,United States,https://www.linkedin.com/jobs/view/order-operations-manager-deal-desk-at-ironclad-3815281991?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=jnTJ1SwimvNz3QPyE6XEow%3D%3D&position=9&pageNum=10&trk=public_jobs_jserp-result_search-card,"$140,000.00/yr - $160,000.00/yr"
Enterprise Operations Manager,Kindbody,United States,https://www.linkedin.com/jobs/view/enterprise-operations-manager-at-kindbody-3825289436?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=kFutBBUi%2BCcfQjM6IYqbbg%3D%3D&position=10&pageNum=10&trk=public_jobs_jserp-result_search-card,"$75,000.00/yr - $100,000.00/yr"
Sr. Business Analyst - Remote (Req. #602),Mindex,United States,https://www.linkedin.com/jobs/view/sr-business-analyst-remote-req-%23602-at-mindex-3819998166?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=UVi7Pj1Fw3uh0qNMTf4bMg%3D%3D&position=11&pageNum=10&trk=public_jobs_jserp-result_search-card,"$70,000.00/yr - $120,000.00/yr"
Business Analyst - Remote | WFH,Get It Recruit - Transportation,"Sheridan, WY",https://www.linkedin.com/jobs/view/business-analyst-remote-wfh-at-get-it-recruit-transportation-3823541395?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=LpXWsQBcAfrJ7ptoVc2%2FRg%3D%3D&position=12&pageNum=10&trk=public_jobs_jserp-result_search-card,N/A
Business Strategy Analyst,CareScout,United States,https://www.linkedin.com/jobs/view/business-strategy-analyst-at-carescout-3791117047?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=%2FKob0dD7HE3FXqcMbjMAbA%3D%3D&position=13&pageNum=10&trk=public_jobs_jserp-result_search-card,"$56,500.00/yr - $121,300.00/yr"
Business Analyst- Remote,Data Nomad,United States,https://www.linkedin.com/jobs/view/business-analyst-remote-at-data-nomad-3832133689?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=zLIbdEZbLM0FIkfj9d0waw%3D%3D&position=14&pageNum=10&trk=public_jobs_jserp-result_search-card,N/A
Business Analyst- Remote,Data Nomad,United States,https://www.linkedin.com/jobs/view/business-analyst-remote-at-data-nomad-3831767249?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=E2I%2FkIwK%2FZP8zE9zwgsfiA%3D%3D&position=15&pageNum=10&trk=public_jobs_jserp-result_search-card,N/A
Business Analyst,"Aqua Finance, Inc.",United States,https://www.linkedin.com/jobs/view/business-analyst-at-aqua-finance-inc-3811659440?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=rj75YaR0GeKPK5zyxPacJA%3D%3D&position=16&pageNum=10&trk=public_jobs_jserp-result_search-card,"$76,000.00/yr - $100,000.00/yr"
"Senior Manager, HR Operations",Opendoor,United States,https://www.linkedin.com/jobs/view/senior-manager-hr-operations-at-opendoor-3803327026?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=FP%2FdU87GgH8Ii%2FhzWLzbUA%3D%3D&position=17&pageNum=10&trk=public_jobs_jserp-result_search-card,"$120,800.00/yr - $226,800.00/yr"
Connectivity Operations Manager,HCLTech,United States,https://www.linkedin.com/jobs/view/connectivity-operations-manager-at-hcltech-3831346192?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=MYAi9QQo9YwHUPREDCDHzA%3D%3D&position=18&pageNum=10&trk=public_jobs_jserp-result_search-card,"$85,000.00/yr - $90,000.00/yr"
Operations General Manager,Cherokee Federal,"Tulsa, OK",https://www.linkedin.com/jobs/view/operations-general-manager-at-cherokee-federal-3826239773?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=KQM4C%2F%2FvhjEGfpFupdR7uQ%3D%3D&position=19&pageNum=10&trk=public_jobs_jserp-result_search-card,"$160,000.00/yr - $190,000.00/yr"
Workforce Management Junior Analyst,UST HealthProof,United States,https://www.linkedin.com/jobs/view/workforce-management-junior-analyst-at-ust-healthproof-3825427205?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=SNcC6%2BrnKwxHmCUDUA9Klg%3D%3D&position=20&pageNum=10&trk=public_jobs_jserp-result_search-card,"$39,520.00/yr - $43,680.00/yr"
Business Analyst- Remote,Data Nomad,United States,https://www.linkedin.com/jobs/view/business-analyst-remote-at-data-nomad-3826988488?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=habve%2BVpYS3nQSRUZAVhsw%3D%3D&position=21&pageNum=10&trk=public_jobs_jserp-result_search-card,N/A
"Operations Success Manager ""Remote""",Pueblo,"Texas, United States",https://www.linkedin.com/jobs/view/operations-success-manager-remote-at-pueblo-3831392438?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=GUiRxy9W7yKgLTuifKve1w%3D%3D&position=22&pageNum=10&trk=public_jobs_jserp-result_search-card,"$100,000.00/yr - $130,000.00/yr"
Business Analyst (Kronos),"Metasys Technologies, Inc.","Atlanta, GA",https://www.linkedin.com/jobs/view/business-analyst-kronos-at-metasys-technologies-inc-3829126915?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=O7x%2B%2BPwCqPWEinfocy%2BA0Q%3D%3D&position=23&pageNum=10&trk=public_jobs_jserp-result_search-card,$75.00/hr - $80.00/hr
"Manager, Strategic Planning",The RealReal,"Perth Amboy, NJ",https://www.linkedin.com/jobs/view/manager-strategic-planning-at-the-realreal-3821002761?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=aq4D3%2FFeu%2B3nsEgHcOEiZw%3D%3D&position=24&pageNum=10&trk=public_jobs_jserp-result_search-card,"$98,532.00/yr - $125,000.00/yr"
Business Development Analyst e-mobility - Hybrid - Remote | WFH,Get It Recruit - Finance,"Casar, NC",https://www.linkedin.com/jobs/view/business-development-analyst-e-mobility-hybrid-remote-wfh-at-get-it-recruit-finance-3828095397?refId=O5uXLyT4wWZqDnFnmVtBGQ%3D%3D&trackingId=WpUW%2FSNbYTOo38sMeb1DPw%3D%3D&position=25&pageNum=10&trk=public_jobs_jserp-result_search-card,"$40,000.00/yr - $140,000.00/yr"
Technical Operations Analyst - Remote,Get It Recruit - Finance,"Appleton, WI",https://www.linkedin.com/jobs/view/technical-operations-analyst-remote-at-get-it-recruit-finance-3823543655?refId=18aYNGRsJiZXZPxCqnEg3A%3D%3D&trackingId=kgwuP2Tpm0G9pmdB55c0gQ%3D%3D&position=1&pageNum=11&trk=public_jobs_jserp-result_search-card,"$40,000.00/yr - $140,000.00/yr"
